scenario_family,replicate,seed,status,theta_hat,se_theta,studentized_statistic,reject
continuous_linear_boundary_v1,0,4253987066,success,0.031863871321885624,0.013685326576743572,-1.3252243982934513,False
continuous_linear_boundary_v1,1,2251875083,success,0.010025156380452222,0.007926709013499508,-5.043056778225238,True
continuous_linear_boundary_v1,2,3064137402,success,0.003620001817788572,0.006202539472312718,-7.477582107980989,True
continuous_linear_boundary_v1,3,1857695547,success,0.010608452814986217,0.00894508089053303,-4.403710560818246,True
continuous_linear_boundary_v1,4,1161616835,success,0.018827194712350382,0.011527880464207779,-2.704122877092297,True
continuous_linear_boundary_v1,5,2902008153,success,5.250889052100315e-05,0.007182468987570188,-6.95408378315548,True
continuous_linear_boundary_v1,6,4129849032,success,0.02314594857258782,0.013762694725682275,-1.9512204522927041,False
continuous_linear_boundary_v1,7,2873284953,success,0.031242961242326277,0.015649466199778875,-1.198573709685942,False
continuous_linear_boundary_v1,8,336604850,success,0.01463737466363312,0.010398458039061198,-3.4007566509889497,True
continuous_linear_boundary_v1,9,2751244373,success,0.020376228675466356,0.011212272371383482,-2.6420845251798295,True
continuous_linear_boundary_v1,10,4019118358,success,0.014595644832708223,0.011877156581131622,-2.9808780346919153,True
continuous_linear_boundary_v1,11,1301100197,success,0.03472325669767604,0.01334087560578913,-1.1451079939381776,False
continuous_linear_boundary_v1,12,1460154307,success,0.02244094987996251,0.011593672647365046,-2.3770767864746447,True
continuous_linear_boundary_v1,13,3935755722,success,0.03750741121523133,0.01821461932534455,-0.6858550575024087,False
continuous_linear_boundary_v1,14,629672227,success,0.008610401408052209,0.010563547602874828,-3.9181532708466027,True
continuous_linear_boundary_v1,15,192901763,success,0.03717504080402105,0.014919552836645164,-0.859607478615478,False
continuous_linear_boundary_v1,16,2853155069,success,0.013630425218910542,0.010659983937843974,-3.4117851389976255,True
continuous_linear_boundary_v1,17,76690913,success,0.05046877620311665,0.02076735971241067,0.022572739607168397,False
continuous_linear_boundary_v1,18,3850318678,success,0.022920612777437507,0.01240813840911011,-2.182389197293342,True
continuous_linear_boundary_v1,19,3211411015,success,0.036746591284489094,0.01510469103883772,-0.8774365977717301,False
bounded_composite_unsaturated_v1,0,1514821885,success,0.026421306148921176,0.014031349872349408,-1.6804294715466896,False
bounded_composite_unsaturated_v1,1,4165319748,success,0.011004573839672025,0.008905055680192737,-4.379021037124383,True
bounded_composite_unsaturated_v1,2,2898078270,success,0.01918883121584527,0.012056793512113322,-2.5555027340560414,True
bounded_composite_unsaturated_v1,3,3281365085,full_worse_than_reduced,-0.002985905529400185,0.00461626660208774,-11.478086102184161,False
bounded_composite_unsaturated_v1,4,1213009374,success,0.0340195540235047,0.016741915361048344,-0.9545171882588375,False
bounded_composite_unsaturated_v1,5,3135570489,success,0.04611176152911086,0.016859656526501197,-0.23062382467740875,False
bounded_composite_unsaturated_v1,6,709349150,success,0.026631794987961595,0.014899030137987922,-1.5684379986893715,False
bounded_composite_unsaturated_v1,7,3179823818,success,0.019942755767461913,0.013122020696933669,-2.2905957037212885,True
bounded_composite_unsaturated_v1,8,2235864314,success,0.0426093032727001,0.01709820037389796,-0.4322499775229275,False
bounded_composite_unsaturated_v1,9,635889414,success,0.018863397357893337,0.01092572821243056,-2.849842320503775,True
bounded_composite_unsaturated_v1,10,901682691,success,0.06228859393919881,0.02164660553711219,0.5676914987031354,False
bounded_composite_unsaturated_v1,11,873110855,success,0.018711490486751723,0.011207016253167853,-2.7918679518648912,True
bounded_composite_unsaturated_v1,12,3896164087,success,0.014729945985432515,0.01077256005633705,-3.2740642734982552,True
bounded_composite_unsaturated_v1,13,1080095653,success,0.030803331716211385,0.016300386092109615,-1.1776818153455262,False
bounded_composite_unsaturated_v1,14,1444721586,success,0.007126531623417102,0.009141703953779874,-4.6898771381516635,True
bounded_composite_unsaturated_v1,15,3690834397,success,0.025318606227115084,0.0140784472974289,-1.7531332292157247,False
bounded_composite_unsaturated_v1,16,1715137262,success,0.033207489580197064,0.01617470231631373,-1.0381959489211798,False
bounded_composite_unsaturated_v1,17,1366594800,success,0.025424651408662187,0.01510914786045785,-1.626521152503508,False
bounded_composite_unsaturated_v1,18,526502915,success,0.007237569033087445,0.00734427174390871,-5.82255565398699,True
bounded_composite_unsaturated_v1,19,423998647,success,0.04102720347864017,0.017206089431889303,-0.5214895898849564,False
bounded_composite_saturated_v1,0,2839584032,success,0.037770502701032056,0.016870060450975284,-0.7249231462155751,False
