mode,replications,usable_rate,median_theta_bias,median_se,median_statistic,implied_critical_value,statistic_p01,statistic_min
empty_separator,1500,1.0,-0.02476077638568064,0.0414401085053105,-0.5791000078989526,-4.57648659808948,-6.477239115612662,-9.395454643768065
single_separator,1500,1.0,-0.04339881197107054,0.037315732000645,-1.037628995975009,-9.68075550006757,-12.414635102363578,-19.583928127339128
