separator_form,added_form,replications,median_observed_adequacy,median_theta_bias,false_prune_rate,correct_prune_rate
linear,linear,15000,0.1382055180538197,-0.003911310724501566,0.0,0.4243
linear,oscillatory,15000,0.1408547953698851,-0.023667732097540653,0.0488,0.6972
