adequacy_bin,replications,true_edges,false_prune_rate,true_nonedges,correct_prune_rate,median_theta_bias,abstention_rate
"(-inf, 0.0]",5247,1745,0.002292263610315186,3502,0.3817818389491719,-0.011780230636759101,0.004574042309891366
"(0.0, 0.02]",2057,706,0.00424929178470255,1351,0.42783123612139157,-0.015345768106243215,0.008750607681088965
"(0.02, 0.05]",2745,918,0.006535947712418301,1827,0.4521072796934866,-0.013640536899315048,0.004007285974499089
"(0.05, 0.1]",2663,845,0.009467455621301775,1818,0.47744774477447743,-0.014080058611674634,0.006383777694329703
"(0.1, 0.2]",4869,1632,0.01838235294117647,3237,0.5291936978683967,-0.01289584909099773,0.005339905524748409
"(0.2, 0.4]",5851,1971,0.03754439370877727,3880,0.6481958762886598,-0.01057814296435086,0.00512732866176722
"(0.4, inf]",6568,2183,0.05451213925790197,4385,0.7703534777651083,-0.007609525761233126,0.0053288672350791716
