edge_strength,delta,k,correct_prune_rate,wrongful_prune_rate,strong_wrongful_prune_rate_040,strong_wrongful_prune_rate_060,familywise_wrongful_rate,unresolved_rate,candidate_adjacency_rate,practical_absent,practical_present,strong_present_040,strong_present_060,replications
realistic,0.05,1,0.9988590986879635,0.12737752161383284,0.003048780487804878,,0.88,0.020476190476190478,0.12466666666666666,8765,1735,328,0,100
realistic,0.05,2,0.9436394751853965,0.050720461095100866,0.0,,0.61,0.07952380952380952,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,3,0.9095265259555049,0.03976945244956772,0.0,,0.54,0.10980952380952382,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,4,0.8870507701083856,0.037463976945244955,0.0,,0.52,0.12895238095238096,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,5,0.8770108385624643,0.03515850144092219,0.0,,0.49,0.1377142857142857,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,6,0.8695949800342271,0.0345821325648415,0.0,,0.48,0.144,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,7,0.8654877353108956,0.03400576368876081,0.0,,0.47,0.14752380952380953,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,8,0.8633200228180262,0.03342939481268011,0.0,,0.47,0.14942857142857144,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,9,0.8618368511123787,0.032853025936599424,0.0,,0.46,0.15076190476190476,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,10,0.8597832287507131,0.03112391930835735,0.0,,0.45,0.15276190476190477,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,11,0.8576155162578437,0.029971181556195964,0.0,,0.44,0.15476190476190477,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,12,0.8514546491728465,0.02881844380403458,0.0,,0.42,0.1600952380952381,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,13,0.8393610952652596,0.022478386167146973,0.0,,0.32,0.17123809523809524,0.12438095238095238,8765,1735,328,0,100
realistic,0.05,14,0.7845978322875071,0.0005763688760806917,0.0,,0.01,0.22057142857142858,0.12438095238095238,8765,1735,328,0,100
realistic,0.1,1,0.9998883430102724,0.2933937823834197,0.021341463414634148,,0.99,0.02580952380952381,0.07819047619047619,8956,1544,328,0,100
realistic,0.1,2,0.9796784278695846,0.13082901554404144,0.006097560975609756,,0.88,0.06733333333333333,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,3,0.961701652523448,0.08160621761658031,0.003048780487804878,,0.68,0.0899047619047619,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,4,0.948861098704779,0.05958549222797927,0.003048780487804878,,0.56,0.1040952380952381,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,5,0.9404868244752121,0.052461139896373056,0.003048780487804878,,0.51,0.11228571428571428,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,6,0.9353506029477445,0.050518134715025906,0.003048780487804878,,0.48,0.11695238095238095,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,7,0.9335640911121036,0.04987046632124352,0.003048780487804878,,0.48,0.11857142857142858,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,8,0.9320008932559178,0.048575129533678756,0.003048780487804878,,0.48,0.1200952380952381,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,9,0.93144260830728,0.04727979274611399,0.003048780487804878,,0.48,0.12076190476190476,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,10,0.9299910674408218,0.04404145077720207,0.003048780487804878,,0.45,0.12247619047619047,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,11,0.928427869584636,0.040803108808290155,0.003048780487804878,,0.42,0.12428571428571429,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,12,0.9240732469852613,0.034974093264248704,0.003048780487804878,,0.39,0.12885714285714286,0.07780952380952381,8956,1544,328,0,100
realistic,0.1,13,0.9140241179097811,0.025906735751295335,0.0,,0.31,0.13885714285714285,0.07771428571428571,8956,1544,328,0,100
realistic,0.1,14,0.8870031263957123,0.0,0.0,,0.0,0.1657142857142857,0.07771428571428571,8956,1544,328,0,100
realistic,0.2,1,0.9996846752154719,0.5182555780933062,0.1524390243902439,,1.0,0.019523809523809523,0.026,9514,986,328,0,100
realistic,0.2,2,0.9944292621400042,0.2697768762677485,0.024390243902439025,,0.91,0.047619047619047616,0.026,9514,986,328,0,100
realistic,0.2,3,0.9888585242800084,0.15821501014198783,0.024390243902439025,,0.7,0.06314285714285714,0.026,9514,986,328,0,100
realistic,0.2,4,0.9843388690351061,0.09330628803245436,0.021341463414634148,,0.5,0.07333333333333333,0.026,9514,986,328,0,100
realistic,0.2,5,0.9810805129283162,0.06896551724137931,0.021341463414634148,,0.39,0.07857142857142857,0.026,9514,986,328,0,100
realistic,0.2,6,0.9793987807441665,0.06288032454361055,0.021341463414634148,,0.35,0.08066666666666666,0.026,9514,986,328,0,100
realistic,0.2,7,0.978347698129073,0.058823529411764705,0.021341463414634148,,0.33,0.082,0.026,9514,986,328,0,100
realistic,0.2,8,0.9774017237754887,0.057809330628803245,0.021341463414634148,,0.32,0.08295238095238096,0.026,9514,986,328,0,100
realistic,0.2,9,0.9765608576834139,0.056795131845841784,0.021341463414634148,,0.32,0.0838095238095238,0.026,9514,986,328,0,100
realistic,0.2,10,0.975719991591339,0.056795131845841784,0.021341463414634148,,0.32,0.08457142857142858,0.026,9514,986,328,0,100
realistic,0.2,11,0.9745638007147361,0.0537525354969574,0.021341463414634148,,0.31,0.0859047619047619,0.026,9514,986,328,0,100
realistic,0.2,12,0.9724616354845491,0.04563894523326572,0.018292682926829267,,0.28,0.08857142857142856,0.026,9514,986,328,0,100
realistic,0.2,13,0.9652091654404036,0.035496957403651115,0.009146341463414634,,0.22,0.0960952380952381,0.026,9514,986,328,0,100
realistic,0.2,14,0.9480765188143788,0.0010141987829614604,0.0,,0.01,0.11485714285714285,0.026,9514,986,328,0,100
strong,0.05,1,0.9880341880341881,0.14956521739130435,0.06878306878306878,0.03614457831325301,0.9,0.03666666666666667,0.11304761904761905,8775,1725,945,498,100
strong,0.05,2,0.8911680911680911,0.05333333333333334,0.02433862433862434,0.004016064257028112,0.57,0.13447619047619047,0.112,8775,1725,945,498,100
strong,0.05,3,0.8165242165242165,0.025507246376811593,0.016931216931216932,0.002008032128514056,0.37,0.20142857142857143,0.112,8775,1725,945,498,100
strong,0.05,4,0.7574928774928775,0.019130434782608695,0.015873015873015872,0.002008032128514056,0.27,0.2518095238095238,0.112,8775,1725,945,498,100
strong,0.05,5,0.717037037037037,0.017971014492753623,0.015873015873015872,0.002008032128514056,0.26,0.2858095238095238,0.112,8775,1725,945,498,100
strong,0.05,6,0.6926495726495726,0.017391304347826087,0.015873015873015872,0.002008032128514056,0.26,0.3062857142857143,0.112,8775,1725,945,498,100
