adequacy_bin,replications,true_edges,false_prune_rate,true_nonedges,correct_prune_rate,median_theta_bias,abstention_rate
"(-inf, 0.0]",8018,2725,0.0029357798165137615,5293,0.40260721707916114,-0.013259247845600914,0.004365178348715391
"(0.0, 0.02]",2974,949,0.001053740779768177,2025,0.42617283950617285,-0.015214846848864925,0.0057162071284465365
"(0.02, 0.05]",4039,1333,0.005251312828207052,2706,0.45454545454545453,-0.014813716441414831,0.008170339192869523
"(0.05, 0.1]",4124,1386,0.007215007215007215,2738,0.49050401753104456,-0.01415397012326251,0.007516973811833172
"(0.1, 0.2]",7200,2411,0.015346329323931979,4789,0.5353936103570682,-0.013562694822699974,0.006527777777777778
"(0.2, 0.4]",8682,2859,0.02098635886673662,5823,0.6482912588013051,-0.011286798692980122,0.007026030868463488
"(0.4, inf]",9963,3337,0.03596044351213665,6626,0.7875037730153939,-0.00840902477299984,0.0057211683227943394
