family,edge_strength,n,reference_delta,method,setting,replications,false_prunes,true_prunes,edges,nonedges,moral_only,familywise_errors,practical_false_prunes,practical_true_prunes,practical_present,practical_absent,practical_familywise_errors,false_prune_rate,true_prune_rate,moral_graph_prune_ceiling,practical_false_prune_rate,practical_true_prune_rate,familywise_error_rate,practical_familywise_error_rate,practical_familywise_upper_bound,familywise_upper_bound
additive_nonlinear,realistic,375,0.05,conservative_pc,0.05,100,565,8475,1762,8738,839,100,555,8485,1730,8770,100,0.3206583427922815,0.9699015793087663,0.9039826047150378,0.3208092485549133,0.9675028506271379,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,ebicglasso,0.0,100,501,7702,1762,8738,839,100,491,7712,1730,8770,100,0.28433598183881953,0.8814373998626688,0.9039826047150378,0.2838150289017341,0.8793614595210947,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,ebicglasso,0.25,100,542,8057,1762,8738,839,100,531,8068,1730,8770,100,0.3076049943246311,0.9220645456626231,0.9039826047150378,0.3069364161849711,0.9199543899657925,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,ebicglasso,0.5,100,570,8255,1762,8738,839,100,558,8267,1730,8770,100,0.32349602724177073,0.9447241931792172,0.9039826047150378,0.3225433526011561,0.9426453819840365,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,ebicglasso,1.0,100,622,8464,1762,8738,839,100,605,8481,1730,8770,100,0.3530079455164586,0.9686427100022889,0.9039826047150378,0.34971098265895956,0.9670467502850627,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,fci,0.001,100,624,8672,1762,8738,839,100,606,8690,1730,8770,100,0.35414301929625425,0.9924467841611353,0.9039826047150378,0.35028901734104045,0.9908779931584949,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,fci,0.005,100,604,8648,1762,8738,839,100,591,8661,1730,8770,100,0.3427922814982974,0.98970016021973,0.9039826047150378,0.3416184971098266,0.9875712656784492,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,fci,0.01,100,598,8626,1762,8738,839,100,585,8639,1730,8770,100,0.33938706015891035,0.987182421606775,0.9039826047150378,0.33815028901734107,0.9850627137970354,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,fci,0.05,100,567,8498,1762,8738,839,100,557,8508,1730,8770,100,0.32179341657207716,0.9725337605859464,0.9039826047150378,0.3219653179190751,0.9701254275940707,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,fci,0.1,100,535,8343,1762,8738,839,100,527,8351,1730,8770,100,0.3036322360953462,0.9547951476310369,0.9039826047150378,0.3046242774566474,0.9522234891676169,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,fci,0.2,100,500,8053,1762,8738,839,100,492,8061,1730,8770,100,0.28376844494892167,0.9216067750057221,0.9039826047150378,0.28439306358381505,0.9191562143671608,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,ges,0.5,100,547,8415,1762,8738,839,100,537,8425,1730,8770,100,0.3104426787741203,0.9630350194552529,0.9039826047150378,0.31040462427745663,0.9606613454960091,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,ges,1.0,100,586,8629,1762,8738,839,100,574,8641,1730,8770,100,0.3325766174801362,0.9875257495994507,0.9039826047150378,0.33179190751445087,0.985290763968073,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,ges,2.0,100,623,8685,1762,8738,839,100,603,8705,1730,8770,100,0.3535754824063564,0.9939345387960632,0.9039826047150378,0.3485549132947977,0.992588369441277,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,ges,4.0,100,755,8718,1762,8738,839,100,724,8749,1730,8770,100,0.4284903518728717,0.9977111467154955,0.9039826047150378,0.4184971098265896,0.9976054732041049,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,pc,0.001,100,624,8668,1762,8738,839,100,606,8686,1730,8770,100,0.35414301929625425,0.9919890135042344,0.9039826047150378,0.35028901734104045,0.9904218928164196,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,pc,0.005,100,603,8644,1762,8738,839,100,590,8657,1730,8770,100,0.3422247446083995,0.9892423895628291,0.9039826047150378,0.34104046242774566,0.987115165336374,1.0,1.0,0.9994922745363412,0.9994922745363412
