separator_form,added_form,replications,median_observed_adequacy,median_theta_bias,false_prune_rate,correct_prune_rate
linear,linear,15000,0.1391285422893333,-0.0037625486110014327,0.0,0.4262
linear,oscillatory,15000,0.14228957685624916,-0.02326561177772539,0.0402,0.7078
