adequacy_bin,replications,true_edges,false_prune_rate,true_nonedges,correct_prune_rate,median_theta_bias,abstention_rate
"(-inf, 0.0]",5112,1694,0.0017709563164108619,3418,0.398478642480983,-0.01162301178664096,0.003325508607198748
"(0.0, 0.02]",2096,715,0.004195804195804196,1381,0.4265025343953657,-0.014344686290039165,0.01049618320610687
"(0.02, 0.05]",2757,935,0.006417112299465241,1822,0.45115257958287597,-0.01315587541195403,0.003989844033369605
"(0.05, 0.1]",2696,855,0.00935672514619883,1841,0.4872351982618142,-0.013674528190403087,0.006305637982195846
"(0.1, 0.2]",4905,1642,0.013398294762484775,3263,0.53723567269384,-0.012255865963100798,0.005708460754332314
"(0.2, 0.4]",5848,1969,0.028948704926358558,3879,0.6519721577726219,-0.010223043612155158,0.006326949384404925
"(0.4, inf]",6586,2190,0.04657534246575343,4396,0.7707006369426752,-0.007165649086483509,0.006832675372001214
