strategy,replicate,full_worse,risk_gap
current_selection,0,False,-0.007635111739822786
current_selection,1,False,-0.07049328665787713
current_selection,2,False,-0.0087237709415664
current_selection,3,True,0.018850111142420634
current_selection,4,False,-0.00826440744246515
current_selection,5,False,-0.08411934462151216
current_selection,6,False,-0.026873413283814207
current_selection,7,False,-0.05416308238126133
current_selection,8,False,-0.10203928119033145
current_selection,9,False,-0.00830479305366194
current_selection,10,False,-0.028956154249063948
current_selection,11,False,-0.005824547821390524
current_selection,12,True,0.008522474864088303
current_selection,13,False,-0.008696505763126083
current_selection,14,True,0.010065720565905378
current_selection,15,False,-0.0023104330728576095
current_selection,16,False,-0.04929578746221286
current_selection,17,True,0.01137340164207945
current_selection,18,True,0.008469486314163444
current_selection,19,False,-0.008235635214582482
current_selection,20,False,-0.03856454178464275
current_selection,21,False,-0.01599397125487223
current_selection,22,False,-0.05270172563369169
current_selection,23,False,-0.004784729966437862
current_selection,24,False,-0.09399232653279399
current_selection,25,False,-0.00016855185740505263
current_selection,26,False,-0.020740947376582053
current_selection,27,False,-0.06023172728444526
current_selection,28,False,-0.07113783892555081
current_selection,29,False,-0.007752768026493495
current_selection,30,True,0.017084531425127558
current_selection,31,False,-0.021313275913910967
current_selection,32,False,-0.07256660836915474
current_selection,33,True,0.006723086279750046
current_selection,34,True,0.00599808814604752
current_selection,35,False,-0.07132715339405293
current_selection,36,False,-0.05725862136826776
current_selection,37,False,-0.04368441534346479
current_selection,38,True,0.029311570966959577
current_selection,39,False,-0.02894926928970798
current_selection,40,False,-0.0526109118527609
current_selection,41,False,-0.06611443761576341
current_selection,42,True,0.0003204703400156994
current_selection,43,True,0.02055423642666565
current_selection,44,False,-0.0022286187705554683
current_selection,45,False,-0.07213068829618519
current_selection,46,False,-0.013300770425533903
current_selection,47,True,5.016353855435973e-05
current_selection,48,False,-0.062085100081031075
current_selection,49,False,-0.06842592315358909
current_selection,50,False,-0.009306566514865389
current_selection,51,False,-0.04052401831864105
current_selection,52,True,0.004963615580968916
current_selection,53,False,-0.011081597706926516
current_selection,54,False,-0.038444039380824524
current_selection,55,False,-0.0054586237089842005
current_selection,56,True,0.01061662116396267
current_selection,57,False,-0.0029835245722844572
current_selection,58,False,-0.12818271903436185
current_selection,59,False,-0.026294781901442743
current_selection,60,False,-0.038796764120316074
current_selection,61,False,-0.014477730768551078
current_selection,62,False,-0.03010555146071625
current_selection,63,False,-0.023484166640557635
current_selection,64,False,-0.03432890851679449
