strategy,replicate,full_worse,risk_gap
current_selection,0,False,-0.007635111739822786
current_selection,1,False,-0.07049328665787713
current_selection,2,False,-0.0087237709415664
current_selection,3,True,0.018850111142420634
current_selection,4,False,-0.00826440744246515
current_selection,5,False,-0.08411934462151216
current_selection,6,False,-0.026873413283814207
current_selection,7,False,-0.05416308238126133
current_selection,8,False,-0.10203928119033145
current_selection,9,False,-0.00830479305366194
repeated_selection,0,True,0.020586251566995672
repeated_selection,1,False,-0.06338974392911745
repeated_selection,2,False,-0.04333258741246637
repeated_selection,3,True,0.018850111142420634
repeated_selection,4,False,-0.0013964018313015192
repeated_selection,5,False,-0.08442765727983848
repeated_selection,6,False,-0.02153904147675867
repeated_selection,7,False,-0.05416308238126133
repeated_selection,8,False,-0.10203928119033145
repeated_selection,9,False,-0.04057576925915263
blend,0,False,-0.014349606158767791
blend,1,False,-0.05853698481126879
blend,2,False,-0.03218423789163749
blend,3,False,-0.0027120360730252813
blend,4,False,-0.015041017302125148
blend,5,False,-0.0562277016923739
blend,6,False,-0.020320682468610185
blend,7,False,-0.046460551327984434
blend,8,False,-0.09810625262209527
blend,9,False,-0.03610825829556652
