replicate,theta_hat,se_theta,z,z_bias_corrected,wald_reject,critical_reject,bias_corrected_reject
0,0.04769667246819375,0.010971953543698482,-0.2099286624421703,-0.1549515505441388,False,False,False
1,0.06870518557324605,0.01549936262920064,1.206835791944481,1.2457539289119641,False,False,False
2,0.02772813380961664,0.008578156517271477,-2.5963464464119563,-2.526027571197054,True,True,True
3,0.05360244309390689,0.01160599078923279,0.3103951363849931,0.36236883933429465,False,False,False
4,0.055623427703772176,0.014448078173656355,0.3892163121061699,0.43096624662768707,False,False,False
5,0.022841399932476785,0.008105863598393867,-3.350488166727176,-3.276072120813026,True,True,True
6,0.05629800320675011,0.012110606835654965,0.5200402665379318,0.5698483666519581,False,False,False
7,0.06146590245142203,0.013265269726664839,0.8643550178534355,0.9098276188740838,False,False,False
8,0.044334025699780184,0.01173066391423322,-0.48300542421517134,-0.4315840961367134,False,False,False
9,0.06493146474829821,0.013690736039204194,1.0906254203967645,1.1346848716917572,False,False,False
10,0.0704887050625459,0.013652353228221765,1.5007453088887426,1.5449286308134182,False,False,False
11,0.04798468160476046,0.01159461137258804,-0.1738150879299117,-0.12179037590394304,False,False,False
12,0.06574082319935981,0.013470822654946537,1.16851239174912,1.2132911207965555,False,False,False
13,0.06274077434295473,0.01441455037565068,0.8838828829844514,0.9257299265613963,False,False,False
14,0.06732250009057117,0.014271603357762596,1.2137739296929893,1.256040120995441,False,False,False
15,0.0532710448899825,0.013188881823439897,0.2480153309258594,0.29375130201022137,False,False,False
16,0.037845888538330125,0.008675308174187858,-1.4010005428778545,-1.3314691434623653,False,False,False
17,0.06336904683306849,0.013007308147220936,1.0278104187087191,1.0741848346051233,False,False,False
18,0.06056058034824142,0.014731474044375126,0.7168719380307857,0.7578187106276689,False,False,False
19,0.07028180213475758,0.015002145858117493,1.3519267394526313,1.3921347419221937,False,False,False
20,0.03197736671674603,0.00892151382361053,-2.0201317444083977,-1.9525191923641978,True,False,True
21,0.06735190380611203,0.012985653542716113,1.3362364665769957,1.3826882154803273,False,False,False
22,0.042853918606605694,0.010396059371021192,-0.6873836651331434,-0.6293610725156619,False,False,False
23,0.0541306018190152,0.012449396958893695,0.33179131749545104,0.38024397104193397,False,False,False
24,0.07726592510941985,0.0141002053730033,1.9337253882573973,1.9765053550560956,False,False,False
25,0.06913287278829584,0.012973071878711117,1.4748143668033622,1.5213111659694707,False,False,False
26,0.04969813307259378,0.013653097442036983,-0.02210977609203885,0.022071137453240772,False,False,False
27,0.0727837396339809,0.013883196490852269,1.6411018636085177,1.6845505260335851,False,False,False
28,0.043090456407261966,0.010627793093971395,-0.6501390770071981,-0.5933816380564828,False,False,False
29,0.0335075049118667,0.0100837486232423,-1.6355519861055752,-1.5757323356710564,False,False,False
30,0.07250170951821809,0.01317851726740064,1.7074538099881682,1.75322575120678,False,False,False
31,0.06984241975810601,0.01613014351335963,1.2301452706649338,1.2675414858450598,False,False,False
32,0.048691837621765134,0.010185369265032726,-0.12843543952067657,-0.06921261686045403,False,False,False
