replicate,seed,status,theta_hat,se_theta,p_equivalence,reject
0,101000,success,0.03902532097436453,0.009768625774915881,0.13062068328546322,False
1,101001,success,0.03508268670475588,0.009193425310954946,0.052336756116840806,False
2,101002,success,0.0373134942640493,0.010988035161648133,0.12413234709207754,False
3,101003,success,0.05407122106025496,0.01221277234354173,0.6305678356126362,False
4,101004,success,0.061975393116643754,0.014440811252232283,0.7965253847045004,False
5,101005,success,0.053557328567229855,0.013845101795950913,0.6013865653162173,False
6,101006,success,0.06857791180409954,0.014228919428229358,0.9041632769514398,False
7,101007,success,0.03976235625172512,0.009747599615477064,0.14679623546445453,False
8,101008,success,0.05141619591223044,0.01339812351148788,0.5420902319771626,False
9,101009,success,0.06781266407552496,0.015855281147378636,0.8693774365435762,False
10,101010,success,0.06345931593763086,0.013655060272703667,0.837851252181445,False
11,101011,success,0.06222522844042807,0.012938510050152558,0.827637739465459,False
12,101012,success,0.05095200585362737,0.011168291638559657,0.5339654403890306,False
13,101013,success,0.050415612507425024,0.010701078676681807,0.5154903754939304,False
14,101014,success,0.04128713689508045,0.009846268122841331,0.18810801095431878,False
15,101015,success,0.03501166328231919,0.009860245601502428,0.06424575913976856,False
16,101016,success,0.04082193714082224,0.01183380705067838,0.2189985367934124,False
17,101017,success,0.043819215555972686,0.012266700132871284,0.30717744808171804,False
18,101018,success,0.06416917328968019,0.013370885800931667,0.8553602247119542,False
19,101019,success,0.05379616459871923,0.011137244376803666,0.6333929243349514,False
20,101020,success,0.04904208223570781,0.01349511303942956,0.4717058150392282,False
21,101021,success,0.06930843216118869,0.017271552485026948,0.8682021169789808,False
22,101022,success,0.07222624245057821,0.013361978790728351,0.9518832564772015,False
23,101023,success,0.03905683443446605,0.010162864524801508,0.1407893624698322,False
24,101024,success,0.05390415685487217,0.012672778290449651,0.6209870883998592,False
25,101025,success,0.028651472671885964,0.009180371809996604,0.010023863043365085,True
26,101026,success,0.0505502936120575,0.013235315420941116,0.5165823137562993,False
27,101027,success,0.049350808553579706,0.012363784064015613,0.4790621579603651,False
28,101028,success,0.03701891357590977,0.011503243352716807,0.12956034723771104,False
29,101029,success,0.03407185146520509,0.00946876677645368,0.04626719127322611,True
30,101030,success,0.029733859536851502,0.008809445297477137,0.010709917527427028,True
31,101031,success,0.06788422842338739,0.014451284433562559,0.8920590491565155,False
32,101032,success,0.05595603264585201,0.011316288366309888,0.700668398316159,False
33,101033,success,0.03886096699862689,0.009411148289017054,0.11828576467300106,False
34,101034,success,0.06789351838777638,0.016226945173798357,0.8649221493023522,False
35,101035,success,0.07479911292387145,0.013048347834812426,0.9713198890271512,False
36,101036,success,0.05519404041303914,0.011929081879907665,0.6683675391345494,False
37,101037,success,0.05828417611381463,0.015130194823458211,0.7079913176053146,False
38,101038,success,0.042703048146462814,0.012022744803583904,0.2719490331036686,False
39,101039,success,0.06550832104293043,0.013753389412975096,0.8702555434502011,False
40,101040,success,0.0523655107945938,0.012270137480304123,0.576436718147843,False
41,101041,success,0.06237213022675246,0.013824806417227692,0.8145857391181924,False
42,101042,success,0.056438000548674525,0.012089496469149162,0.702819970968338,False
43,101043,success,0.030817870079333978,0.009391794984062308,0.020554205032875816,True
44,101044,success,0.04805598327499639,0.011306115591459115,0.43174084737146534,False
45,101045,success,0.03729929248080313,0.010704240692256194,0.11771012901181205,False
46,101046,success,0.05509828989311124,0.012471701307817905,0.658652613615552,False
47,101047,success,0.04764689932662434,0.013086851235008792,0.42865224755861403,False
48,101048,success,0.043606977373075076,0.010319486781935049,0.26779030200712295,False
49,101049,success,0.06633924372095419,0.016340849999013866,0.8413209595844362,False
50,101050,success,0.03876549041132927,0.011047240777741014,0.15458821859553246,False
51,101051,success,0.0988622963183617,0.017383096802220565,0.9975299091378718,False
52,101052,success,0.01579285290872423,0.007329487115744289,1.527709819061854e-06,True
53,101053,success,0.03406217526410524,0.010655843954687667,0.06736740620301893,False
54,101054,success,0.04523054107129421,0.012177120984899368,0.3476496352234649,False
55,101055,success,0.04961834411578456,0.012365580728768172,0.4876888516820092,False
56,101056,success,0.07815469971808617,0.016544196441997307,0.9556023551261033,False
57,101057,success,0.040281153972583764,0.010991123417137741,0.1882819831272864,False
58,101058,success,0.04337208859887299,0.011536506590127952,0.2828092274085441,False
59,101059,success,0.04977245962642191,0.010947989585235648,0.49170907681850196,False
60,101060,success,0.05667934372810018,0.012553432089091593,0.7026623218074043,False
61,101061,success,0.042158003245128924,0.013044409540854746,0.27386110811095954,False
62,101062,success,0.06298002139836847,0.013641038536848806,0.8293353515058803,False
63,101063,success,0.05153880769480769,0.014092223886317371,0.5434762926330082,False
64,101064,success,0.03469364117815441,0.009777243299783736,0.058731847028576395,False
65,101065,success,0.04930561220310035,0.013398943642369926,0.4793344380075473,False
66,101066,success,0.041218506682772924,0.008823388144141207,0.15980689637988899,False
67,101067,success,0.04440538230191577,0.010580798355672685,0.29848876919045975,False
68,101068,success,0.04417615726524704,0.010915125883381884,0.2968240035325518,False
69,101069,success,0.0414697710973342,0.01093337985526536,0.21763642131407185,False
70,101070,success,0.033313295696718905,0.010405964281132786,0.054404305058060404,False
71,101071,success,0.05517048731022376,0.011797975944492396,0.6693982146354214,False
