adequacy_bin,replications,true_edges,false_prune_rate,true_nonedges,correct_prune_rate,median_theta_bias,abstention_rate
"(-inf, 0.0]",213,67,0.014925373134328358,146,0.3561643835616438,-0.012425603636086248,0.004694835680751174
"(0.0, 0.02]",74,27,0.0,47,0.3829787234042553,-0.010712641910489928,0.0
"(0.02, 0.05]",118,39,0.0,79,0.46835443037974683,-0.01682598461183033,0.0
"(0.05, 0.1]",109,37,0.0,72,0.5555555555555556,-0.012024853635116507,0.01834862385321101
"(0.1, 0.2]",192,66,0.030303030303030304,126,0.5396825396825397,-0.014640184579231419,0.010416666666666666
"(0.2, 0.4]",233,80,0.0,153,0.6535947712418301,-0.01041923484110469,0.008583690987124463
"(0.4, inf]",261,84,0.023809523809523808,177,0.7457627118644068,-0.005318631061564605,0.007662835249042145
