true_strength,edges,mean_true_theta,declared_nonedge_k1,declared_nonedge_k2,declared_nonedge_k3,declared_nonedge_k5
0.00-0.20,196,0.1366221300858454,0.9489795918367347,0.7755102040816326,0.6275510204081632,0.5102040816326531
0.20-0.30,286,0.25048276744174014,0.8671328671328671,0.6888111888111889,0.486013986013986,0.23776223776223776
0.30-0.40,306,0.34981851507989437,0.7875816993464052,0.5196078431372549,0.30718954248366015,0.08496732026143791
0.40-0.60,447,0.48621159742648706,0.6756152125279642,0.34675615212527966,0.18568232662192394,0.10738255033557047
>0.60,498,0.7112424835038519,0.4598393574297189,0.1465863453815261,0.05622489959839357,0.02208835341365462
