adequacy_bin,replications,true_edges,false_prune_rate,true_nonedges,correct_prune_rate,median_theta_bias,abstention_rate
"(-inf, 0.0]",7798,2660,0.007518796992481203,5138,0.4211755546905411,-0.015561190430976824,0.00602718645806617
"(0.0, 0.02]",3048,962,0.008316008316008316,2086,0.439117929050815,-0.0162824100606106,0.006233595800524934
"(0.02, 0.05]",4067,1350,0.008888888888888889,2717,0.47258005152741994,-0.0165434313258839,0.009343496434718466
"(0.05, 0.1]",4153,1392,0.01867816091954023,2761,0.5092357841361825,-0.016353367803040763,0.008668432458463762
"(0.1, 0.2]",7268,2426,0.030090684253915912,4842,0.5718711276332095,-0.015757497121754123,0.006879471656576775
"(0.2, 0.4]",8676,2861,0.03670045438657812,5815,0.6925193465176268,-0.014361543246451999,0.009220839096357769
"(0.4, inf]",9990,3349,0.06778142729172887,6641,0.8254780906489987,-0.012482457647285887,0.008408408408408409
