p,family,edge_strength,delta,checks_per_pair,correct_prune_rate,wrongful_prune_rate,strong_wrongful_prune_rate_040,strong_wrongful_prune_rate_060,familywise_wrongful_rate,unresolved_rate,candidate_adjacency_rate,mean_edges,edge_density,practical_absent,practical_present,strong_present_040,strong_present_060,replications,seconds_per_graph,mean_rejections
9,additive_nonlinear,strong,0.05,8,0.3593959090040145,0.0,0.0,0.0,0.0,0.5993055555555555,0.13958333333333334,9.925,0.27569444444444446,5231,1969,1055,611,200,31.296363958999983,0.0
10,additive_nonlinear,strong,0.05,9,0.3208444840915849,0.0,0.0,0.0,0.0,0.6304444444444445,0.12977777777777777,11.45,0.2544444444444444,6726,2274,1189,641,200,41.81587930149993,0.0
4,additive_nonlinear,strong,0.1,3,0.23669724770642203,0.0,0.0,0.0,0.0,0.6758333333333333,0.21666666666666667,3.525,0.5875,545,655,440,333,200,3.5264884895000437,0.97
5,additive_nonlinear,strong,0.1,4,0.26499032882011603,0.0,0.0,0.0,0.0,0.6925,0.1705,5.28,0.528,1034,966,553,368,200,6.757390306500046,0.0
6,additive_nonlinear,strong,0.1,5,0.24126074498567335,0.0,0.0,0.0,0.0,0.7193333333333334,0.14033333333333334,6.725,0.4483333333333333,1745,1255,703,461,200,10.668401295999983,0.0
7,additive_nonlinear,strong,0.1,6,0.35942028985507246,0.0,0.0,0.0,0.0,0.6447619047619048,0.11904761904761904,7.64,0.3638095238095238,2760,1440,781,460,200,15.864591503999947,0.0
8,additive_nonlinear,strong,0.1,7,0.3657709366031829,0.0,0.0,0.0,0.0,0.6423214285714286,0.10732142857142857,9.23,0.3296428571428571,3833,1767,909,496,200,22.48549611350002,0.0
9,additive_nonlinear,strong,0.1,8,0.47334593572778827,0.0,0.0,0.0,0.0,0.5629166666666666,0.08930555555555555,9.925,0.27569444444444446,5290,1910,1055,611,200,31.296363958999983,0.0
10,additive_nonlinear,strong,0.1,9,0.4496386963574694,0.0,0.0,0.0,0.0,0.5801111111111111,0.0811111111111111,11.45,0.2544444444444444,6781,2219,1189,641,200,41.81587930149993,0.0
4,additive_nonlinear,strong,0.2,3,0.3778135048231511,0.0,0.0,0.0,0.0,0.6891666666666667,0.115,3.525,0.5875,622,578,440,333,200,3.5264884895000437,0.97
5,additive_nonlinear,strong,0.2,4,0.38402718776550554,0.0,0.0,0.0,0.0,0.6865,0.0875,5.28,0.528,1177,823,553,368,200,6.757390306500046,0.0
6,additive_nonlinear,strong,0.2,5,0.3850129198966408,0.0,0.0,0.0,0.0,0.6833333333333333,0.06833333333333333,6.725,0.4483333333333333,1935,1065,703,461,200,10.668401295999983,0.0
7,additive_nonlinear,strong,0.2,6,0.5287317239034343,0.0,0.0,0.0,0.0,0.5683333333333334,0.06142857142857143,7.64,0.3638095238095238,2941,1259,781,460,200,15.864591503999947,0.0
8,additive_nonlinear,strong,0.2,7,0.5715346534653465,0.0,0.0,0.0,0.0,0.5371428571428571,0.05053571428571429,9.23,0.3296428571428571,4040,1560,909,496,200,22.48549611350002,0.0
9,additive_nonlinear,strong,0.2,8,0.6462375339981867,0.0,0.0,0.0,0.0,0.4613888888888889,0.043611111111111114,9.925,0.27569444444444446,5515,1685,1055,611,200,31.296363958999983,0.0
10,additive_nonlinear,strong,0.2,9,0.6470755252697331,0.0,0.0,0.0,0.0,0.4567777777777778,0.03677777777777778,11.45,0.2544444444444444,7044,1956,1189,641,200,41.81587930149993,0.0
4,linear_gaussian,realistic,0.05,3,0.38666666666666666,0.0,0.0,0.0,0.0,0.3566666666666667,0.4741666666666667,3.475,0.5791666666666667,525,675,232,1,200,0.02435597749996305,1.005
5,linear_gaussian,realistic,0.05,4,0.38357588357588357,0.0038535645472061657,0.0,0.0,0.02,0.4265,0.387,5.415,0.5415,962,1038,269,2,200,0.02022002500007147,0.0
6,linear_gaussian,realistic,0.05,5,0.4372037914691943,0.0038109756097560975,0.0,,0.025,0.43333333333333335,0.319,6.79,0.45266666666666666,1688,1312,321,0,200,0.03326533599998584,0.0
7,linear_gaussian,realistic,0.05,6,0.5123715264560335,0.00572155117609663,0.0,0.0,0.04,0.4073809523809524,0.27,8.14,0.38761904761904764,2627,1573,346,1,200,0.04313397950006219,0.0
8,linear_gaussian,realistic,0.05,7,0.549165120593692,0.004378762999452655,0.0,,0.04,0.38857142857142857,0.24,9.44,0.33714285714285713,3773,1827,401,0,200,0.05244887200004996,0.0
9,linear_gaussian,realistic,0.05,8,0.6353591160220995,0.0015376729882111738,0.0,0.0,0.015,0.3293055555555556,0.20708333333333334,10.025,0.27847222222222223,5249,1951,431,2,200,0.0573533139999654,0.0
10,linear_gaussian,realistic,0.05,9,0.6514423076923077,0.0021331058020477816,0.0,,0.025,0.32322222222222224,0.19444444444444445,12.07,0.2682222222222222,6656,2344,474,0,200,0.08581938600005741,0.0
4,linear_gaussian,realistic,0.1,3,0.528169014084507,0.0,0.0,0.0,0.0,0.3933333333333333,0.3566666666666667,3.475,0.5791666666666667,568,632,232,1,200,0.02435597749996305,1.005
5,linear_gaussian,realistic,0.1,4,0.5332086061739943,0.00644468313641246,0.0,0.0,0.03,0.455,0.257,5.415,0.5415,1069,931,269,2,200,0.02022002500007147,0.0
6,linear_gaussian,realistic,0.1,5,0.5969498910675382,0.009450171821305841,0.0,,0.045,0.427,0.204,6.79,0.45266666666666666,1836,1164,321,0,200,0.03326533599998584,0.0
7,linear_gaussian,realistic,0.1,6,0.6676126285916992,0.0065170166545981175,0.0,0.0,0.04,0.36738095238095236,0.1823809523809524,8.14,0.38761904761904764,2819,1381,346,1,200,0.04313397950006219,0.0
8,linear_gaussian,realistic,0.1,7,0.7105394605394605,0.005639097744360902,0.0,,0.04,0.33875,0.15160714285714286,9.44,0.33714285714285713,4004,1596,401,0,200,0.05244887200004996,0.0
9,linear_gaussian,realistic,0.1,8,0.777676120768527,0.00345821325648415,0.0,0.0,0.02,0.2761111111111111,0.13277777777777777,10.025,0.27847222222222223,5465,1735,431,2,200,0.0573533139999654,0.0
10,linear_gaussian,realistic,0.1,9,0.7959890347713172,0.0028999516674722086,0.0,,0.025,0.27066666666666667,0.11566666666666667,12.07,0.2682222222222222,6931,2069,474,0,200,0.08581938600005741,0.0
4,linear_gaussian,realistic,0.2,3,0.7387518142235123,0.0,0.0,0.0,0.0,0.4091666666666667,0.16666666666666666,3.475,0.5791666666666667,689,511,232,1,200,0.02435597749996305,1.005
5,linear_gaussian,realistic,0.2,4,0.7006125574272588,0.012968299711815562,0.007434944237918215,0.0,0.03,0.442,0.096,5.415,0.5415,1306,694,269,2,200,0.02022002500007147,0.0
6,linear_gaussian,realistic,0.2,5,0.7890588780713954,0.014234875444839857,0.0,,0.05,0.35333333333333333,0.07533333333333334,6.79,0.45266666666666666,2157,843,321,0,200,0.03326533599998584,0.0
7,linear_gaussian,realistic,0.2,6,0.8323019801980198,0.011363636363636364,0.0,0.0,0.04,0.29928571428571427,0.05761904761904762,8.14,0.38761904761904764,3232,968,346,1,200,0.04313397950006219,0.0
8,linear_gaussian,realistic,0.2,7,0.8526855359928683,0.006289308176100629,0.0,,0.02,0.2639285714285714,0.05160714285714286,9.44,0.33714285714285713,4487,1113,401,0,200,0.05244887200004996,0.0
9,linear_gaussian,realistic,0.2,8,0.8893524699599465,0.008278145695364239,0.0,0.0,0.035,0.21319444444444444,0.04527777777777778,10.025,0.27847222222222223,5992,1208,431,2,200,0.0573533139999654,0.0
10,linear_gaussian,realistic,0.2,9,0.9003139717425431,0.005162241887905605,0.0,,0.035,0.19411111111111112,0.04044444444444444,12.07,0.2682222222222222,7644,1356,474,0,200,0.08581938600005741,0.0
4,linear_gaussian,strong,0.05,3,0.14990512333965844,0.0,0.0,0.0,0.0,0.5141666666666667,0.42,3.475,0.5791666666666667,527,673,500,390,200,0.02708500649999223,1.01
5,linear_gaussian,strong,0.05,4,0.14343845371312308,0.0,0.0,0.0,0.0,0.5875,0.342,5.255,0.5255,983,1017,683,486,200,0.018084527500013794,0.0
