p,comparisons,mean_absolute_error,p95_absolute_error,max_absolute_error
4,720,0.0006435186794712368,0.0020716340525709976,0.003771130459623573
7,5040,0.0004943385069634686,0.0015509126496780078,0.0035284018040217524
10,16200,0.0004570287688750773,0.0015454239972542006,0.003934735792111704
