learner_library_version,sample_size,scenario_family,replications,abstention_rate,median_theta_hat,median_se,family_quantile,critical_value,tolerated_se,resolution_floor,reachable
v2_quadratic_ridge,100,bounded_composite_saturated_v1,600,0.0,0.2286239002304039,0.0508793904291273,-1.476166785356696,-5.76024142177834,0.034720766953245975,0.2930775722646915,False
v2_quadratic_ridge,100,bounded_composite_unsaturated_v1,600,0.0,0.2176753614111307,0.03963841171635515,-1.9073323974649872,-5.76024142177834,0.034720766953245975,0.2283268210620528,False
v2_quadratic_ridge,100,continuous_linear_boundary_v1,600,0.0,0.1985563540884318,0.058399607622059334,-2.329473330594721,-5.76024142177834,0.034720766953245975,0.33639583884018825,False
v2_quadratic_ridge,100,learner_misspecification_v1,600,0.0016666666666666668,0.11019102337213299,0.08309401818731746,-5.76024142177834,-5.76024142177834,0.034720766953245975,0.4786416054645888,False
v2_quadratic_ridge,100,nonlinear_continuous_v1,600,0.0,0.15306453552874844,0.07189532172135704,-2.986251634599504,-5.76024142177834,0.034720766953245975,0.4141344102114409,False
v2_quadratic_ridge,150,bounded_composite_saturated_v1,600,0.0,0.2327398085892425,0.040560382863723765,-1.3341500458344502,-4.080745468503226,0.04901065296614981,0.16551659857189666,True
v2_quadratic_ridge,150,bounded_composite_unsaturated_v1,600,0.0,0.22282864208871256,0.03235468187804869,-1.595076439926772,-4.080745468503226,0.04901065296614981,0.13203122145871063,True
v2_quadratic_ridge,150,continuous_linear_boundary_v1,600,0.0,0.19591665007175202,0.04689742950377364,-2.222367703529755,-4.080745468503226,0.04901065296614981,0.19137647293197377,True
v2_quadratic_ridge,150,learner_misspecification_v1,600,0.0,0.16002956216375797,0.06963583147180201,-4.080745468503226,-4.080745468503226,0.04901065296614981,0.28416610372401035,False
v2_quadratic_ridge,150,nonlinear_continuous_v1,600,0.0,0.16432741120854333,0.05658925728259594,-2.8277565289025905,-4.080745468503226,0.04901065296614981,0.23092635522191654,False
v2_quadratic_ridge,200,bounded_composite_saturated_v1,600,0.0,0.22068581340383325,0.033937563280043825,-1.4407518080443684,-4.03165792932749,0.04960738324180233,0.13682464610004214,True
v2_quadratic_ridge,200,bounded_composite_unsaturated_v1,600,0.0,0.227307270472416,0.028105827548287353,-1.185672492210714,-4.03165792932749,0.04960738324180233,0.1133130824953637,True
v2_quadratic_ridge,200,continuous_linear_boundary_v1,600,0.0,0.19674815628524048,0.04034827437711735,-2.1536921433784775,-4.03165792932749,0.04960738324180233,0.16267044032718633,True
v2_quadratic_ridge,200,learner_misspecification_v1,600,0.0,0.1750078817017673,0.059428692044703024,-4.03165792932749,-4.03165792932749,0.04960738324180233,0.23959615751158844,False
v2_quadratic_ridge,200,nonlinear_continuous_v1,600,0.0,0.15713000917476166,0.0481046062585003,-2.8936132658385016,-4.03165792932749,0.04960738324180233,0.1939413172592595,True
v2_quadratic_ridge,300,bounded_composite_saturated_v1,600,0.0,0.2101260032644617,0.026566047560678447,-1.705641957060883,-2.9536317078661014,0.06771324924070957,0.07846632042789876,True
v2_quadratic_ridge,300,bounded_composite_unsaturated_v1,600,0.0,0.22835810049010902,0.022556667947982112,-0.6957085407728836,-2.9536317078661014,0.06771324924070957,0.06662408967496695,True
v2_quadratic_ridge,300,continuous_linear_boundary_v1,600,0.0,0.1986129892350566,0.03267543074471939,-2.0833410135127814,-2.9536317078661014,0.06771324924070957,0.09651118831578605,True
