learner_library_version,sample_size,critical_value,tolerated_se,worst_family_se,worst_resolution_floor,families_reachable,max_abstention,delta_reachable_everywhere
v2_quadratic_ridge,100,-5.76024142177834,0.034720766953245975,0.08309401818731746,0.4786416054645888,0,0.0016666666666666668,False
v2_quadratic_ridge,150,-4.080745468503226,0.04901065296614981,0.06963583147180201,0.28416610372401035,3,0.0,False
v2_quadratic_ridge,200,-4.03165792932749,0.04960738324180233,0.059428692044703024,0.23959615751158844,4,0.0,False
v2_quadratic_ridge,300,-2.9536317078661014,0.06771324924070957,0.048671023174706576,0.14375627730309917,5,0.0,True
v3_nested_blend,100,-5.617440768753188,0.0356034016615703,0.07029759092172448,0.39489255318882915,1,0.0,False
v3_nested_blend,150,-4.021471947500618,0.04973303372768815,0.06027293454260356,0.24238591545662122,3,0.0,False
v3_nested_blend,200,-4.264003012423015,0.04690428206014569,0.05426691022407835,0.2313942686703594,4,0.0,False
v3_nested_blend,300,-3.4727256506958595,0.05759164993639054,0.045404305403037346,0.15767669602515638,5,0.0,True
v4_cubic_blend,100,-5.131523049525417,0.03897478352328492,0.07401764663195651,0.37982325976351217,1,0.0,False
v4_cubic_blend,150,-3.926142305233502,0.05094058861121828,0.061885839371222676,0.24297261205024243,3,0.0,False
v4_cubic_blend,200,-4.338888011693757,0.04609475963910087,0.055216069810909624,0.23957634335540134,4,0.0,False
v4_cubic_blend,300,-3.385865576781059,0.05906909044810336,0.04585160364446274,0.15524736641999531,5,0.0,True
